150000	2003	Лада	2111	 бензин, 1500 куб.см	 механика	 передний	 130000	 левый	 Универсал. ВАЗ- 21113.  Двигатель 1, 5 (90 л/с - 16 клапан. ). Цвет "Снежная королева". Двигатель ИТС,  клапана не гнет,  пробег реальный. Подвеска SS- 20. Шумоизоляция салона. Сигнализация с обратной связью и автозапуском. Тонировка. Музыка. Есть пару "косячков" на кузове. Торг.	 Новосибирск	11637010	22-07-2013	
125000	2002	Лада	2111	 бензин, 1500 куб.см	 механика	 передний	null	 левый	 Цвет: темно- серо- голубой металлик,  подогрев дв. , сигнализация;	 Новосибирск	11650340	23-07-2013	
117000	2001	Лада	2111	 бензин	null	 передний	null	null	null	 Новосибирск	11656336	24-07-2013	
120000	2001	Лада	2111	 бензин, 1500 куб.см	 механика	 передний	 134000	 левый	 цвет серо -зеленый ( папирус) , заменена помпа , ролики, грм на 125000км.в передних дверях электростеклоподъемники.передняя подвеска практически вся обновлена, стойки , стабилизаторы, сайлентблоки и тд.Торг.	 Новосибирск	11689681	27-07-2013	
160000	2004	Лада	2111	 бензин	 механика	 передний	 160000	 левый	 Продам срочно,  торг,  машина в отличном состоянии. Возможен обмен с вашей доплатой. На обмен цена дороже!	 Новосибирск	11517749	27-07-2013	
150000	2002	Лада	2111	 бензин	 механика	 передний	null	 левый	 Автомобиль не битый,  без ДТП. Есть стекло подъемники,  сигналка,  обогрев заднего стекла,  подогрев переднего сидения,  задняя дверь открывается с ключа и из кабины,  электроподогрев тасола зимой (220ВТ),  два комплекта колес (зима- лето). Салон чистенький,  не курящий,  с музыкой. Машинка в Бердске,  смотреть по договоренности. Торг.	 Новосибирск	11722255	30-07-2013	
147000	2003	Лада	2111	 бензин, 1500 куб.см	 механика	 передний	 130000	 левый	 ОТС,  8 кл,  после кап. ремонта,  центр. замок,  тонировка, . Продам или обменяю. Возможен торг.	 Новосибирск	11724394	30-07-2013	
150000	2001	Лада	2111	 бензин, 1500 куб.см	null	 передний	null	 левый	null	 Новосибирск	11602847	31-07-2013	
125000	2002	Лада	2111	 бензин, 1500 куб.см	 механика	 передний	 120000	 левый	 серо- голубой металлик,  сигнализация,  центральный замок,  электро- стекло- подъёмник все 4,  зимний электро подогрев 220 в,  CD,  Антигравий пороги	 Новосибирск	11735104	31-07-2013	
125000	2002	Лада	2111	 бензин, 1500 куб.см	 механика	 передний	 120000	null	 серо- голубой металлик,  сигнализация,  центральный замок,  электро- стекло подъёмники все 4,  зимний электро- подогрев 220 в,  CD,  Антигравий пороги	 Новосибирск	11735263	31-07-2013	
123000	2001	Лада	2111	 бензин, 1600 куб.см	 механика	 передний	null	 левый	 Авто находится в области г. Тогучин 100 км от НСК.  Полтора часа на машине. Все работает,  двигло в порядке,  коробка в порядке. Небольшие косячки по кузову на фото видно. Ездит тёща 2 раза в неделю) Остальное по телефону.	 Новосибирск	11738141	01-08-2013	
