1111111	1994	Toyota	Caldina	 бензин	 автомат	 передний	null	 правый	 продам toyota kaldiha 1994 гв цвет белый  2 комплекта зимняя резина новая стеклоподъёмник сиг автозпуском срочно торг	 Новосибирск	7875840	22-06-2012	
1800000	1997	Toyota	Caldina	 бензин	 автомат	 4WD	null	 правый	 Турбо, ПТС 170л.с.Требуется замена: фары пер.пр., решотки радиатора, копота.Ремонт бампера.Торг.Автомобиль на ходу.	 Новосибирск	3114354	23-10-2009	
1950000	1996	Toyota	Caldina	 бензин, 2000 куб.см	 автомат	 передний	null	 правый	 В РФ с 2004 года. Торг. Обмен(на минивен или микроавтобус с доплатой или без нее). 	 Новосибирск	1985396	23-08-2008	
$70000 (~ 2289000р	1992	Toyota	Caldina	 бензин, 1500 куб.см	 механика	 передний	null	 правый	 после дтп 	 Новосибирск	2270360	21-11-2008	
596000	2007	Toyota	Caldina	 бензин, 1800 куб.см	 автомат	 передний	 54000	 правый	 Авто из Японии без пробега по РФ	null	6111338	12-02-2012	
160000	1993	Toyota	Caldina	 бензин	 автомат	 4WD	null	 правый	null	 Новосибирск	10702071	21-04-2013	
185000	1995	Toyota	Caldina	 бензин	 автомат	 4WD	null	 правый	 машина ОТС. есть музыка, сигнализация и так же имеется люк. 	 Новосибирск	10751112	25-04-2013	
165000	1992	Toyota	Caldina	 бензин	 автомат	 передний	null	 правый	null	 Новосибирск	10752150	25-04-2013	
260000	1998	Toyota	Caldina	 бензин	 автомат	 4WD	null	 правый	 V2. 0 G 140 л. с. ,  МР3,  розетка 12- 100 В,  резина Гиславед (шипы) R14. Ходовая отремонтирована, масло везде заменено, АКП не пинается, машинка готова к работе.	 Новосибирск	10262746	30-04-2013	
350000	2001	Toyota	Caldina	null	 автомат	 передний	null	 правый	 Отличное состояние,  вложений не требует двигатель масло не расходует,  коробка не пинает,  по ходовке поменял все резинки, пыльники и подшибник все остальное в норме. . . черный велюровый салон без прокуров. . . . есть сигнализация с автозапуском. . . . музыка USB MP3  6 колонок. . . . литьё. . . шторки. . . реальному покупателю будет хороший торг. . . возможен автообмен.	 Новосибирск	10920471	12-05-2013	
120000	1990	Toyota	Caldina	 дизель, 2000 куб.см	 автомат	 передний	 170000	 правый	 КОНТРАКТНЫЙ ДВС НОЯБРЬ 2010 СИГНАЛКА	 Новосибирск	4821494	28-03-2011	
220000	1988	Toyota	Caldina	 дизель, 2200 куб.см	 автомат	 передний	 210000	 правый	null	 Новосибирск	5447091	25-07-2011	
$10000 (~ 327000р	1834	Toyota	Caldina	null	null	null	null	null	  55° 4'54.76"N	 Новосибирск	2609381	11-04-2009	
162000	1993	Toyota	Caldina	 1800 куб.см	null	null	null	null	 сигнализация в хорошем техническом состоянии 	 Новосибирск	1236818	28-04-2007	
250000	1997	Toyota	Caldina	 бензин, 1800 куб.см	 автомат	 передний	 200000	 правый	null	 Новосибирск	11177087	05-06-2013	
225000	1997	Toyota	Caldina	 бензин, 1800 куб.см	 автомат	 передний	 200000	 правый	 Машина в хорошем состоянии,  двигатель 7А,  не убитый,  коробка в идеале,  все детали и стёкла родные,  никаких вложений не требует,  сел и поехал,  в ДТП не участвовала!  25 ПТС!  ж/д доставка до Новосибирска.  2 хозяина.  Машина 7 лет в одних руках.  Обмен не предлагать!  Торг на месте. Продажа от собственника.	 Новосибирск	11192460	07-06-2013	
205000	1997	Toyota	Caldina	 бензин, 1800 куб.см	 автомат	 передний	null	 правый	 Отличный автомобиль для работы и быстрой езды. 	 Новосибирск	11141867	07-06-2013	
265000	1999	Toyota	Caldina	 бензин, 1800 куб.см	 автомат	 передний	null	 правый	 Продам черную красавицу калдину в 211м кузове. 25 оригинальный птс. В России с 2005 года. Двигатель 7А- в порядке (расход смешной). АКПП - режимная (ни одного пинка или толчка). Ходовая в идеале. Кузов ровный , есть жизненные сколы на фото видно. Салон весь родной без косячков. Литье R15 с новой резиной NOKIAN + зимняя резина (липа, один сезон) этого размера. Сигналка KGB -2 брелока ( со всеми функциями), музыка все форматы, зеркало для обгона, запаска полноразмерное литье с хорошей резиной и тек далее. Обмена нет. До 23.06 не продается. ТОРГ.	 Новосибирск	11204151	08-06-2013	
