300000	1999	Suzuki	Escudo	 бензин, 2500 куб.см	 автомат	 4WD	 180000	 правый	 Срочно!!!	 Новосибирск	6313510	09-11-2012	
250000	1995	Suzuki	Escudo	 бензин	 автомат	 4WD	null	 правый	null	 Новосибирск	11493130	07-07-2013	
470000	2002	Suzuki	Escudo	 бензин, 2700 куб.см	 автомат	 4WD	 78000	 правый	 Отличный внедорожник Suzuki Grand Escudo FIS World Cup Limited ( семиместный, ограниченная серия FIS, выпускалась к чемпионату мира по фристайлу ). Дизайн в корне отличается от обычных Гранд Эскуд, всё другое, бампера, решётка, обвес, салон. 	 Новосибирск	11287525	09-07-2013	
190000	1993	Suzuki	Escudo	 1600 куб.см	 автомат	 4WD	null	 правый	 5 дверей . масло не ест. коробка не пинается. раздатка включается. 16 клапанов. обмен не интересен. торг.	 Новосибирск	11310844	25-06-2013	
445000	2003	Suzuki	Escudo	 бензин, 2000 куб.см	 автомат	 4WD	 160000	 правый	 В России с 2007 г,  25 птс ,  один хозяин,  подключаемый полный привод,  на раме ,  сигнализация с авто запускам с обратной связью ,  отличное техническое состояние ,  торг при осмотре авто! срочно !	 Новосибирск	10255994	21-06-2013	
450000	2004	Suzuki	Escudo	 дизель, 1600 куб.см	 механика	 4WD	 100000	 правый	 Машина с левым рулем в отличном тех. состоянии, приобреталась и обслуживалась у официального дилера.	 Новосибирск	11504444	08-07-2013	
650000	2007	Suzuki	Escudo	 бензин, 2000 куб.см	 автомат	 4WD	 76000	 правый	 в РФ с 2008г,  2 хозяина,  25 ПТС,  подогрев сидений, зеркал,  щеток,  родной ксенон,  ветровики,  брызговики доп. установлена сигналка шерхан и гидроник. рассмотрю варианты обмена с вашей доплатой	 Новосибирск	10073464	08-07-2013	
160000	1993	Suzuki	Escudo	 бензин, 1600 куб.см	 автомат	 4WD	null	 правый	 Год изготовления 1991. (не могу исправить) Состояние хорошее для своих лет. Два комплекта резины (лето-TOYO 215/70/16; зима-Cordiant 205/70/15). !!!!!Обмен не интересен!!!!!	 Новосибирск	11382490	26-06-2013	
240000	1996	Suzuki	Escudo	 бензин, 1600 куб.см	 автомат	 4WD	null	 правый	 V - 2л.  4 WD  Отличный маленький вездеходик! По городу не возникает проблем с парковкой,  на отдыхе проблем с подъездом к воде! По кузову весь целый,  не гнилой,  не ржавый.  Двигатель не дымит,  масло не ест. Чистый ухоженный салон. Сигнализация. Музыка. Торг около машины.	 Новосибирск	11302551	07-07-2013	
460000	2002	Suzuki	Escudo	 бензин, 2500 куб.см	 автомат	 4WD	 153000	 правый	 ПТС 25,  один хозяин в РФ с 2008. Купил с пробегом в 114000 км, пробег реальный(работа-дом). Двигатель,  ходовка,  коробка в ОТС. Салон на 4ку. Бережная городская эксплуатация,  бездорожья эскудик не видел,  за машиной следили,  не убивали, все тех. жидкости менялись вовремя. Сигнализация "Томогавк" 9010 с о/с и а/з. 	 Новосибирск	10652094	15-06-2013	
235000	1993	Suzuki	Escudo	 1600 куб.см	 автомат	 4WD	null	 правый	 Тёмно зелёный. Сигнализация,  автозапуск. хорошее состояние. Торг,  возможен обмен на тойота соролла.	 Новосибирск	11331943	21-06-2013	
190000	1993	Suzuki	Escudo	 бензин, 1600 куб.см	 автомат	 4WD	null	 правый	 5- ти дверый, раб. лошадь- каждый день езжу, на учёте в новосибе, кузов убило время+охоты и рыбалки(не совсем конечно)))рама в отс! ходовка гремит, но стоит копейки(кое что в придачу! )не хватает кое какой пластмассы, задн. бампера , в остальном всё рабочее, новые катки на литье R16(заберете совсем без колёс- подвинусь на 25т. р. )в остальном торга нет и не будет, так- же как и фото! перекупы не трудитесь- не ваш вариант! авто в академе возможен обмен с вашей доплатой в 100т.р.(переднеприводные вазы или пожилой автобус на мкпп)-возможно проблемный	 Новосибирск	11467476	04-07-2013	
670000	2007	Suzuki	Escudo	 бензин, 2000 куб.см	 автомат	 4WD	 82000	 правый	 ОТС Один хозяин. Подогрев сиденей, зеркал, лобового стекла. Ксенон заводской. Продажа в связи спокупкой другого автомобиля. Торг.	 Новосибирск	10961030	03-07-2013	
380000	2000	Suzuki	Escudo	 бензин, 2000 куб.см	 автомат	 4WD	null	 правый	null	 Новосибирск	11231672	11-06-2013	
285000	1995	Suzuki	Escudo	 бензин, 2000 куб.см	 автомат	 4WD	 125000	 правый	 Продам полнаценый рамный внедорожник,  реальный пробег,  ПТС 25 выданный Владивостокской таможней,  в одних руках 11 лет,  двигатель масло не есть,  АКПП без пенков и ударов,  раздатка исправна,  ходовка без стуков и бряков,  вложений не требует,  кузов автомобиля не битый не ржавый,  стекла все родные,  салон в отличном состоянии,  масло ни где не бежит,  сигнализация с авто запуском,  музыка с USB. Аргументированы торг только возле автомобиля.Машину не кто не смотрел. Любые проверки за Ваш счет приветствуются.	 Новосибирск	11121772	09-07-2013	
380000	1994	Suzuki	Escudo	 бензин, 1600 куб.см	 автомат	 4WD	 220000	 правый	 Подготовленный "Паскудник".	 Новосибирск	5653214	13-06-2013	
